City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Hays,US,2021-04-10 01:03:34,30.0502,-98.0336,84.99,58,2,10.18
169,Tocopilla,CL,2021-04-10 01:00:40,-22.092,-70.1979,67.3,79,89,7.85
170,Sandnessjoen,NO,2021-04-10 01:03:34,66.0217,12.6316,33.01,74,40,3.44
171,Sarapul,RU,2021-04-10 01:03:34,56.4763,53.7978,33.01,95,100,1.99
172,San Carlos De Bariloche,AR,2021-04-10 01:02:07,-41.1456,-71.3082,50.0,46,75,5.75
173,Parana,AR,2021-04-10 01:03:35,-31.732,-60.5238,68.0,94,99,4.0
174,Gewane,ET,2021-04-10 01:03:35,10.1664,40.6453,75.27,42,7,1.14
175,Birao,CF,2021-04-10 01:03:35,10.2849,22.7882,76.69,7,100,4.83
176,Rio Grande,BR,2021-04-10 01:03:36,-32.035,-52.0986,73.0,92,100,9.51
177,Asau,RO,2021-04-10 01:03:36,46.4333,26.4,28.99,60,6,5.06
178,Alofi,NU,2021-04-10 01:03:36,-19.0595,-169.9187,80.6,69,98,5.75
179,Onguday,RU,2021-04-10 01:03:37,50.75,86.15,27.57,83,74,2.3
180,Beira,MZ,2021-04-10 01:00:51,-19.8436,34.8389,77.0,78,20,5.73
181,Port Moresby,PG,2021-04-10 01:03:29,-9.4431,147.1797,84.2,74,40,11.5
182,Ormond Beach,US,2021-04-10 01:00:22,29.2858,-81.0559,73.4,64,75,5.75
183,Leningradskiy,RU,2021-04-10 01:03:37,69.3833,178.4167,-7.47,91,57,5.91
184,Simitli,BG,2021-04-10 01:03:38,41.8833,23.1167,36.34,59,0,2.44
185,Mayo,US,2021-04-10 01:03:38,38.8876,-76.5119,57.99,94,90,6.91
186,Verkh-Usugli,RU,2021-04-10 01:03:38,52.7,115.1667,35.19,45,4,13.67
187,Mudigere,IN,2021-04-10 01:03:39,13.1333,75.6333,66.29,79,4,1.77
188,Cherskiy,RU,2021-04-10 01:02:17,68.75,161.3,4.37,74,100,4.21
189,Carnarvon,AU,2021-04-10 01:03:39,-24.8667,113.6333,87.8,55,67,14.97
190,Odweyne,SO,2021-04-10 01:03:39,9.4092,45.064,69.03,31,0,5.5
191,Vao,NC,2021-04-10 00:59:27,-22.6667,167.4833,76.46,89,100,17.11
192,Tonekabon,IR,2021-04-10 01:03:40,36.8163,50.8738,59.0,88,40,2.3
193,Olafsvik,IS,2021-04-10 01:03:40,64.8945,-23.7142,31.48,61,12,5.55
194,Escondido,US,2021-04-10 01:03:40,33.1192,-117.0864,72.0,49,1,6.91
195,Jamestown,US,2021-04-10 00:59:42,42.097,-79.2353,60.8,72,1,11.5
196,Valdivia,CL,2021-04-10 01:03:41,-39.8142,-73.2459,46.4,93,75,3.44
197,Omsukchan,RU,2021-04-10 01:03:41,62.5333,155.8,11.25,82,100,10.04
198,Ostrovnoy,RU,2021-04-10 01:03:41,68.0531,39.5131,31.64,86,100,28.77
199,San Juan,AR,2021-04-10 01:01:36,-31.5375,-68.5364,55.81,71,100,12.97
200,Kizilskoye,RU,2021-04-10 01:03:42,52.7255,58.8937,34.05,98,100,1.77
201,Porto Novo,BJ,2021-04-10 01:03:42,6.4965,2.6036,81.28,80,100,7.56
202,Shahpur,IN,2021-04-10 01:03:42,16.7,76.8333,83.7,32,100,7.52
203,Margate,GB,2021-04-10 01:03:43,51.3813,1.3862,44.01,81,100,1.99
204,Minggang,CN,2021-04-10 01:03:43,32.4586,114.0486,56.86,61,99,6.87
205,Mulege,MX,2021-04-10 01:03:43,26.8833,-111.9833,81.63,23,1,2.55
206,Nevelsk,RU,2021-04-10 01:03:44,46.6733,141.8633,42.8,49,14,6.71
207,Kirakira,SB,2021-04-10 00:59:33,-10.4544,161.9205,83.55,74,99,8.95
208,Ambilobe,MG,2021-04-10 01:03:44,-13.2,49.05,72.09,95,86,2.86
209,Oranjestad,AW,2021-04-10 01:03:45,12.524,-70.027,80.6,78,20,17.27
210,Hobyo,SO,2021-04-10 01:03:45,5.3505,48.5268,81.41,67,86,10.54
211,Georgetown,MY,2021-04-10 01:03:45,5.4112,100.3354,84.0,83,20,2.3
212,Kyren,RU,2021-04-10 01:03:46,51.6828,102.1408,31.28,74,100,5.7
213,Caraballeda,VE,2021-04-10 01:03:46,10.6112,-66.8522,77.0,100,75,4.61
214,Langarud,IR,2021-04-10 01:03:46,37.197,50.1535,59.0,88,40,2.3
215,Babu,CN,2021-04-10 01:03:46,24.4167,111.5167,62.17,92,100,1.23
216,Xai-Xai,MZ,2021-04-10 01:03:47,-25.0519,33.6442,71.19,88,44,3.11
217,Bredasdorp,ZA,2021-04-10 01:03:47,-34.5322,20.0403,62.6,94,100,5.08
