City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Manggar,ID,-2.8833,108.2667,84.87,66,98,5.06,overcast clouds
216,Richards Bay,ZA,-28.783,32.0377,71.26,95,69,6.31,broken clouds
217,Wajid,SO,3.8093,43.2471,75.72,71,80,11.7,broken clouds
218,Gat,IL,31.61,34.7642,53.6,71,75,8.05,broken clouds
219,Faanui,PF,-16.4833,-151.75,81.73,74,100,8.79,light rain
220,Wewak,PG,-3.5534,143.6268,79.02,81,100,2.17,overcast clouds
221,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.73,98,100,1.54,light rain
222,Nouadhibou,MR,20.931,-17.0347,68.0,68,0,24.16,clear sky
223,Zabol,AF,32.25,67.25,57.85,30,100,4.65,overcast clouds
224,Porto Seguro,BR,-16.4497,-39.0647,75.2,83,40,5.64,scattered clouds
225,Micheweni,TZ,-4.9667,39.8333,78.48,83,99,10.74,light rain
226,Saint-Denis,FR,48.9167,2.3333,37.99,86,0,3.44,clear sky
227,Haapiti,PF,-17.5667,-149.8667,86.0,66,75,10.36,broken clouds
228,Longyearbyen,SJ,78.2186,15.6401,19.4,63,75,12.66,broken clouds
229,Waitati,NZ,-45.75,170.5667,60.01,83,100,14.0,light rain
230,Sarny,UA,51.338,26.6019,40.64,70,17,7.43,few clouds
231,Takoradi,GH,4.8845,-1.7554,80.2,85,44,6.15,scattered clouds
232,East London,ZA,-33.0153,27.9116,70.25,85,92,4.0,overcast clouds
233,Ouargaye,BF,11.5033,0.0572,85.73,44,44,6.51,scattered clouds
234,Port Elizabeth,ZA,-33.918,25.5701,60.8,100,20,3.6,few clouds
235,Iqaluit,CA,63.7506,-68.5145,32.0,93,90,9.22,overcast clouds
236,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.4,76,20,16.11,few clouds
237,Ponta Do Sol,PT,32.6667,-17.1,64.0,82,100,2.28,overcast clouds
238,Mount Gambier,AU,-37.8333,140.7667,57.2,67,90,4.61,overcast clouds
239,Kamina,CD,-8.7386,24.9906,62.08,97,97,2.15,light rain
240,Gushi,CN,34.6425,109.5843,65.07,53,51,8.08,broken clouds
241,Turayf,SA,31.6725,38.6637,44.6,70,0,4.61,clear sky
242,Verkhnevilyuysk,RU,63.4453,120.3167,16.65,77,8,6.04,clear sky
243,Awjilah,LY,29.1081,21.2869,58.32,21,1,9.82,clear sky
244,Narsaq,GL,60.9167,-46.05,39.2,52,3,4.61,clear sky
245,Olga,RU,43.7444,135.2892,53.69,53,100,13.67,moderate rain
246,Egvekinot,RU,66.3167,-179.1667,1.04,65,100,22.5,overcast clouds
247,Jackson,US,42.4165,-122.8345,66.2,26,1,5.75,clear sky
248,Bethel,US,41.3712,-73.414,48.0,92,99,3.0,overcast clouds
249,Rassvet,RU,46.8333,40.75,46.35,92,100,3.78,overcast clouds
250,Muscat,OM,23.6139,58.5922,78.8,83,0,2.3,clear sky
251,Erdenet,MN,49.0333,104.0833,25.07,37,6,5.23,clear sky
252,Abadan,IR,30.3392,48.3043,68.0,49,0,13.8,clear sky
253,Betafo,MG,-19.8333,46.85,58.59,89,91,5.17,overcast clouds
254,Arcachon,FR,44.5875,-1.0519,41.0,87,0,6.91,clear sky
255,Jardim,BR,-21.4803,-56.1381,74.79,67,3,4.27,clear sky
256,Bukoba,TZ,-1.3317,31.8122,66.0,90,98,4.74,moderate rain
257,Makato,PH,11.712,122.2922,83.97,66,100,5.64,overcast clouds
258,Mineiros,BR,-17.5694,-52.5511,66.63,53,0,3.15,clear sky
259,Abu Dhabi,AE,24.4667,54.3667,80.6,39,0,11.77,clear sky
260,Rohnert Park,US,38.3396,-122.7011,64.99,62,1,9.22,clear sky
261,Linfen,CN,36.0889,111.5189,62.58,48,5,7.09,clear sky
262,Rawson,AR,-43.3002,-65.1023,66.7,50,53,12.77,broken clouds
263,Katsuura,JP,35.1333,140.3,64.99,48,40,11.5,scattered clouds
264,Porto Walter,BR,-8.2686,-72.7439,72.9,97,100,1.32,overcast clouds
265,Bubaque,GW,11.2833,-15.8333,76.68,72,0,11.81,clear sky
266,Santiago,CL,-33.4569,-70.6483,66.2,34,0,2.3,clear sky
267,La Ronge,CA,55.1001,-105.2842,35.6,48,100,9.22,overcast clouds
268,Plettenberg Bay,ZA,-34.0527,23.3716,61.83,83,99,2.28,overcast clouds
269,Lavrentiya,RU,65.5833,-171.0,7.47,87,100,27.56,light snow
270,Barabai,ID,-2.5833,115.3833,86.81,63,98,2.3,overcast clouds
271,Severnoye,RU,56.3491,78.3619,31.68,87,100,10.74,overcast clouds
272,Lubango,AO,-14.9172,13.4925,58.19,66,31,3.0,scattered clouds
273,Fairview,US,40.8126,-73.999,50.0,93,90,10.36,moderate rain
274,Santa Cruz Cabralia,BR,-16.2781,-39.0247,75.2,83,40,4.29,scattered clouds
275,Aklavik,CA,68.2191,-135.0107,12.2,34,55,6.91,broken clouds
276,Leh,IN,34.1667,77.5833,29.62,86,99,2.8,overcast clouds
277,Dongsheng,CN,39.8161,109.9776,38.93,47,11,26.75,few clouds
278,Bismarck,US,46.8083,-100.7837,39.2,70,90,25.32,overcast clouds
279,Artigas,UY,-30.4,-56.4667,61.65,77,100,11.39,overcast clouds
280,Dingolfing,DE,48.6333,12.5,48.99,88,100,5.01,overcast clouds
281,Bom Jesus,BR,-9.0744,-44.3586,77.04,57,98,1.45,overcast clouds
282,Galesong,ID,-5.3166,119.3661,82.4,78,20,3.44,few clouds
283,Dingli,MT,35.8614,14.3822,57.99,94,20,16.11,few clouds
284,Mahebourg,MU,-20.4081,57.7,75.2,94,40,3.44,scattered clouds
285,Tuatapere,NZ,-46.1333,167.6833,64.99,73,96,5.01,moderate rain
286,Kayerkan,RU,69.3497,87.7602,26.33,74,100,18.12,overcast clouds
287,Cerro Punta,PA,8.85,-82.5667,66.99,98,100,1.21,overcast clouds
288,Toyooka,JP,35.5333,134.8333,66.2,45,75,10.36,broken clouds
289,Chik,RU,54.9928,82.4311,35.6,60,0,4.47,clear sky
290,Nanortalik,GL,60.1432,-45.2371,34.65,71,0,4.7,clear sky
291,Beringovskiy,RU,63.05,179.3167,4.62,93,100,28.07,snow
292,Thompson,CA,55.7435,-97.8558,26.6,46,75,12.66,broken clouds
293,Hammerfest,NO,70.6634,23.6821,32.0,86,75,12.66,light snow
294,Haines Junction,CA,60.7522,-137.5108,30.2,34,99,5.75,overcast clouds
295,Saldanha,ZA,-33.0117,17.9442,61.47,89,100,7.2,overcast clouds
296,At-Bashi,KG,41.1702,75.8106,38.14,40,1,3.65,clear sky
297,Bathsheba,BB,13.2167,-59.5167,75.2,69,40,5.75,volcanic ash
298,Dumka,IN,24.2667,87.25,90.12,21,89,5.26,overcast clouds
299,Togur,RU,58.3631,82.8265,35.19,84,100,11.92,overcast clouds
300,Kholodnyy,RU,62.7167,147.95,1.76,70,100,5.53,overcast clouds
301,Olean,US,42.0776,-78.4297,55.4,100,90,4.61,moderate rain
302,La Primavera,CO,5.4906,-70.4092,81.03,69,99,3.51,overcast clouds
303,Saint-Francois,FR,46.4154,3.9054,39.2,93,0,8.05,clear sky
304,Neijiang,CN,29.5835,105.0622,63.59,69,58,2.62,broken clouds
305,Cherskiy,RU,68.75,161.3,-7.04,80,32,1.97,scattered clouds
306,Lompoc,US,34.6391,-120.4579,55.4,71,41,19.57,scattered clouds
307,Eyl,SO,7.9803,49.8164,77.32,74,26,7.07,scattered clouds
308,Vardo,NO,70.3705,31.1107,32.07,76,47,25.05,scattered clouds
309,Nogales,MX,31.3086,-110.9422,78.8,13,1,10.36,clear sky
310,Eenhana,NA,-17.4667,16.3333,60.78,52,0,7.18,clear sky
311,Bandipur,NP,27.9333,84.4167,72.3,7,0,1.63,clear sky
312,Ibadan,NG,7.3878,3.8964,76.28,88,84,5.5,broken clouds
313,Bitung,ID,1.4451,125.1824,86.0,70,40,6.91,light rain
314,Killybegs,IE,54.6333,-8.45,37.99,95,100,1.01,overcast clouds
315,Moskovskiy,RU,55.5991,37.355,43.0,60,0,5.39,clear sky
316,Gonzaga,IT,44.9498,10.8209,50.0,94,100,3.78,light rain
317,Ardatov,RU,55.2421,43.097,35.46,90,100,9.04,overcast clouds
318,Scarborough,GB,54.2797,-0.4044,30.99,82,25,9.06,scattered clouds
319,Cockburn Town,TC,21.4612,-71.1419,76.48,71,66,19.82,broken clouds
320,Irkutsk,RU,52.2978,104.2964,32.0,40,0,6.71,clear sky
321,Coahuayana,MX,18.7333,-103.6833,70.72,83,63,1.39,broken clouds
322,Bilibino,RU,68.0546,166.4372,2.52,59,10,1.48,clear sky
323,Nongan,CN,44.382,125.1685,62.6,22,0,31.32,clear sky
324,Bandarbeyla,SO,9.4942,50.8122,77.47,76,19,4.43,few clouds
325,Nynashamn,SE,58.9034,17.9479,41.0,93,100,1.01,overcast clouds
326,Swellendam,ZA,-34.0226,20.4417,61.99,82,64,0.83,broken clouds
327,Saint George,US,37.1041,-113.5841,79.0,8,1,14.97,clear sky
328,Ahlat,TR,38.7518,42.4814,35.62,81,66,6.29,broken clouds
329,Tecoanapa,MX,16.5167,-98.75,78.69,70,0,8.14,clear sky
330,Mapiri,BO,-15.25,-68.1667,68.38,99,100,0.78,overcast clouds
331,Nkhata Bay,MW,-11.6066,34.2907,69.89,90,56,3.96,light rain
332,Labuhan,ID,-6.8844,112.2051,82.35,75,83,5.28,broken clouds
333,Pondicherry,IN,11.93,79.83,84.15,68,56,5.3,broken clouds
334,Ishigaki,JP,24.3448,124.1572,78.8,69,20,12.66,few clouds
335,Juneau,US,58.3019,-134.4197,35.6,69,90,11.5,overcast clouds
336,Viseu,PT,40.661,-7.9097,50.0,83,91,5.99,overcast clouds
337,Kholm-Zhirkovskiy,RU,55.5189,33.4731,41.32,81,0,6.02,clear sky
338,Zaysan,KZ,47.4667,84.8667,46.33,28,0,1.79,clear sky
339,Sao Filipe,CV,14.8961,-24.4956,75.34,66,51,6.55,broken clouds
340,Pitimbu,BR,-7.4706,-34.8086,73.4,100,20,8.05,few clouds
341,Agustin Codazzi,CO,10.0341,-73.2361,76.77,82,73,3.96,broken clouds
342,Buraydah,SA,26.326,43.975,62.6,42,0,12.66,clear sky
343,Karratha,AU,-20.7377,116.8463,87.24,63,81,11.99,broken clouds
344,Awbari,LY,26.5921,12.7805,74.32,17,93,18.61,overcast clouds
345,Kalamare,BW,-22.9337,26.5703,60.89,55,0,5.01,clear sky
346,Beloha,MG,-25.1667,45.05,71.24,91,37,10.22,scattered clouds
347,Aasiaat,GL,68.7098,-52.8699,19.9,90,100,5.44,overcast clouds
